point,lat,long,shape,color
P0000R000A, 33.6632,-85.1469,"s",
P0025R000A, 33.66681825423822, -85.1469
P0025R045A, 33.66575849289963, -85.14382603485804
P0025R090A, 33.6632, -85.14255275815121
P0025R135A, 33.66064150710038, -85.14382603485804
P0025R180A, 33.659581745761784, -85.1469
P0025R225A, 33.66064150710038, -85.14997396514197
P0025R270A, 33.6632, -85.1512472418488
P0025R315A, 33.66575849289963, -85.14997396514197
P0050R000A, 33.67043650847644, -85.1469
P0050R045A, 33.66831698579925, -85.14075206971607
P0050R090A, 33.6632, -85.13820551630242
P0050R135A, 33.658083014200756, -85.14075206971607
P0050R180A, 33.655963491523565, -85.1469
P0050R225A, 33.658083014200756, -85.15304793028393
P0050R270A, 33.6632, -85.15559448369758
P0050R315A, 33.66831698579925, -85.15304793028393
P0075R000A, 33.67405476271466, -85.1469
P0075R045A, 33.670875478698875, -85.1376781045741
P0075R090A, 33.6632, -85.13385827445363
P0075R135A, 33.65552452130113, -85.1376781045741
P0075R180A, 33.652345237285346, -85.1469
P0075R225A, 33.65552452130113, -85.1561218954259
P0075R270A, 33.6632, -85.15994172554637
P0075R315A, 33.670875478698875, -85.1561218954259
P0100R000A, 33.67767301695288, -85.1469
P0100R045A, 33.6734339715985, -85.13460413943214
P0100R090A, 33.6632, -85.12951103260484
P0100R135A, 33.65296602840151, -85.13460413943214
P0100R180A, 33.648726983047126, -85.1469
P0100R225A, 33.65296602840151, -85.15919586056786
P0100R270A, 33.6632, -85.16428896739517
P0100R315A, 33.6734339715985, -85.15919586056786
P0125R000A, 33.6812912711911, -85.1469
P0125R045A, 33.67599246449812, -85.13153017429018
P0125R090A, 33.6632, -85.12516379075605
P0125R135A, 33.650407535501884, -85.13153017429018
P0125R180A, 33.64510872880891, -85.1469
P0125R225A, 33.650407535501884, -85.16226982570983
P0125R270A, 33.6632, -85.16863620924396
P0125R315A, 33.67599246449812, -85.16226982570983
P0150R000A, 33.68490952542932, -85.1469
P0150R045A, 33.678550957397746, -85.12845620914821
P0150R090A, 33.6632, -85.12081654890726
P0150R135A, 33.64784904260226, -85.12845620914821
P0150R180A, 33.64149047457069, -85.1469
P0150R225A, 33.64784904260226, -85.1653437908518
P0150R270A, 33.6632, -85.17298345109275
P0150R315A, 33.678550957397746, -85.1653437908518
P0175R000A, 33.68852777966754, -85.1469
P0175R045A, 33.68110945029737, -85.12538224400625
P0175R090A, 33.6632, -85.11646930705847
P0175R135A, 33.645290549702636, -85.12538224400625
P0175R180A, 33.63787222033247, -85.1469
P0175R225A, 33.645290549702636, -85.16841775599376
P0175R270A, 33.6632, -85.17733069294154
P0175R315A, 33.68110945029737, -85.16841775599376


